日期,体重(kg),体脂率(%)
2026-03-05,85.00,
2026-03-06,83.50,
2026-03-07,83.50,
2026-03-08,83.00,
2026-03-09,82.10,
2026-03-10,81.60,
2026-03-11,81.00,
2026-03-12,81.00,
2026-03-13,80.90,
2026-03-14,80.60,
2026-03-15,80.40,
2026-03-16,79.90,
2026-03-17,79.40,
2026-03-18,78.90,
2026-03-19,78.40,
2026-03-20,77.90,
2026-03-21,77.90,
2026-03-22,77.90,
2026-03-23,77.90,
2026-03-24,77.90,
2026-03-25,77.90,
2026-03-26,77.90,
2026-03-27,77.90,
2026-03-28,77.90,
2026-03-29,77.80,
2026-03-30,77.80,
2026-03-31,77.80,
2026-04-01,77.80,
2026-04-02,77.90,
2026-04-03,77.30,
2026-04-04,78.00,
2026-04-05,77.90,
2026-04-06,78.00,
2026-04-07,77.80,26.0
2026-04-08,77.80,25.6
2026-04-09,77.50,
2026-04-10,77.50,24.8
2026-04-11,77.70,24.3
2026-04-12,77.10,25.4
2026-04-13,77.00,25.4
2026-04-14,76.85,22.4
2026-04-15,77.00,22.5
2026-04-16,76.85,22.4
2026-04-17,76.40,22.2
2026-04-18,76.25,22.1
2026-04-19,75.90,21.9
2026-04-20,76.90,22.5
2026-04-21,76.05,22.0
2026-04-22,76.40,22.2
2026-04-23,76.40,22.2
2026-04-24,76.20,22.1
2026-04-25,76.25,22.1
2026-04-26,76.20,22.1
2026-04-27,76.10,22.0
2026-04-28,75.70,21.8
2026-04-29,75.20,21.6
2026-04-30,75.65,21.8
2026-05-01,75.90,21.9
2026-05-02,75.95,22.0
2026-05-03,75.35,21.6
2026-05-04,75.15,21.5
2026-05-05,74.90,21.4
2026-05-06,74.70,21.3
2026-05-07,74.60,21.2
2026-05-08,74.30,21.1
2026-05-09,74.50,21.2
2026-05-10,73.80,20.8
2026-05-11,74.10,21.0
