日期,体重(kg),体脂率(%)
2026-03-05,85.0,
2026-03-06,83.5,
2026-03-07,83.5,
2026-03-08,83.0,
2026-03-09,82.1,
2026-03-10,81.6,
2026-03-11,81.0,
2026-03-12,81.0,
2026-03-13,80.9,
2026-03-14,80.6,
2026-03-15,80.4,
2026-03-16,79.9,
2026-03-17,79.4,
2026-03-18,78.9,
2026-03-19,78.4,
2026-03-20,77.9,
2026-03-21,77.9,
2026-03-22,77.9,
2026-03-23,77.9,
2026-03-24,77.9,
2026-03-25,77.9,
2026-03-26,77.9,
2026-03-27,77.9,
2026-03-28,77.9,
2026-03-29,77.8,
2026-03-30,77.8,
2026-03-31,77.8,
2026-04-01,77.8,
2026-04-02,77.9,
2026-04-03,77.3,
2026-04-04,78.0,
2026-04-05,77.9,
2026-04-06,78.0,
2026-04-07,77.8,26.0
2026-04-08,77.8,25.6
2026-04-09,77.5,
2026-04-10,77.5,24.8
2026-04-11,77.7,24.3
2026-04-12,77.1,25.4
2026-04-13,77.0,25.4
2026-04-14,76.85,22.4
2026-04-15,77.0,22.5
2026-04-16,76.85,22.4
2026-04-17,76.4,22.2
2026-04-18,76.25,22.1
2026-04-19,75.9,21.9
2026-04-20,76.9,22.5
2026-04-21,76.05,22.0
2026-04-22,76.4,22.2
2026-04-23,76.4,22.2
2026-04-24,76.2,22.1
2026-04-25,76.25,22.1
2026-04-26,76.2,22.1
2026-04-27,76.1,22.0
2026-04-28,75.7,21.8
2026-04-29,75.2,21.6
2026-04-30,75.65,21.8
2026-05-01,75.9,21.9
2026-05-02,75.95,22.0
2026-05-03,75.35,21.6
2026-05-04,75.15,21.5
2026-05-05,74.9,21.4
2026-05-06,74.7,21.3
2026-05-07,74.6,21.2
2026-05-08,74.3,21.1
2026-05-09,74.5,21.2
2026-05-10,73.8,20.8
2026-05-11,74.1,21.0
2026-05-12,72.0,20.2
2026-05-15,72.0,20.0
2026-05-18,71.8,19.9
2026-05-20,71.5,19.8
2026-05-22,71.8,19.6
2026-05-24,71.6,19.7
2026-05-26,71.4,19.6
2026-05-28,71.5,19.5
2026-05-30,71.3,19.4
2026-06-01,71.2,19.3
2026-06-02,71.4,19.4
2026-06-03,71.6,19.5
2026-06-04,71.15,19.2
2026-06-05,70.95,19.1
2026-06-09,70.6,18.9
2026-06-10,70.25,18.7
2026-06-11,70.0,18.5
2026-06-12,69.9,18.4
2026-06-13,69.8,18.3
2026-06-14,69.7,18.2
2026-06-15,69.6,18.1
2026-06-16,69.1,18.0
2026-06-17,69.0,17.9
2026-06-18,68.35,17.2
2026-06-19,68.2,17.4
2026-06-20,68.1,17.3
2026-06-21,68.0,17.2
2026-06-23,67.9,17.2
2026-06-24,67.9,17.2
2026-06-25,67.8,17.2
2026-06-26,67.8,17.1
2026-06-29,67.55,17.0
2026-07-06,67.3,16.8
2026-07-07,66.5,16.2
